,PB Cycle,Idea #,Committee,Project Title,Project Description,Project Status,Idea Submitter,Location,Latitude,Longitude,Entities
14,PB1 (October 2014-April 2015),C14,Culture & Community,Create a makerspace at the Cambridge Public Library,"We at the precipice of a technological revolution. In the words of Neil Gershenfeld, once upon a time computers were large bulky machines that took up an entire room and were operated by people with specialized training. This is quite similar to fabrication and manufacturing technology today: for the most part the things we use are created by large specialized machines by people with specialized knowledge. 

Tools for digital fabrication such as 3D printers and CNC machines mark a turning point in the evolution of how we make things. Democratizing access to these relatively expensive tools perhaps can inspire a generation and reinforce the cultural importance of the library (as has been done in other cities).","Budget Delegates did not move this idea forward, because the Library Director said that they are already thinking about creating a makerspace.",,"Broadway
(42.37351, -71.110656)",42.373509999999996,-71.110656,"makerspace,Cambridge Public Library"
15,PB1 (October 2014-April 2015),C15,Culture & Community,To have more career resources at libraries.,To help connect others with jobs.,Not eligible - would require operating funds. Idea was shared with the Department of Human Service Programs.,Sirdad Mohamud,"80 Rindge Avenue
(42.3927559999999, -71.128527)",42.3927559999999,-71.128527,"career resources,libraries"
16,PB1 (October 2014-April 2015),C16,Culture & Community,A well-equipped training kitchen,It will help people who want to be promoted from kitchen helper to chef or unemployed people who need job-like experience,Budget Delegates did not rank this as a high priority project.,Rebecca Pomerantz and students from the Citizenship class at CLC,"5 Western Avenue
(42.365302, -71.105451)",42.365302,-71.105451,training kitchen
17,PB1 (October 2014-April 2015),C17,Culture & Community,Financial resource center,Many people don't know enough about their own finances,Not eligible - would require operating funds. The Community Development Department offers similar programs.,Jonah Tauber,"Dorothy Doyle Way
(42.367058, -71.1057579999999)",42.367058,-71.10575799999991,resource center
18,PB1 (October 2014-April 2015),C18,Culture & Community,Repair the Jackson Gardens and add more floor,Cambridge is more safe and people are struggling for a place to live.,Projects in Cambridge Housing Authority properties were not eligible. ,Yvio Altidor,"Prospect Street
(42.3687779999999, -71.101584)",42.3687779999999,-71.101584,"floor,Jackson Gardens"
19,PB1 (October 2014-April 2015),C19,Culture & Community,To build sleeping pods on public land overnight throught Cambridge.,"It would be a safe, warm place to sleep for those without homes.","Budget Delegates did not move this idea forward, because it would require operating funds for security, social services, maintenance, etc.",PB Assembly,"Green Street
(42.3642159999999, -71.10321)",42.3642159999999,-71.10321,"pods,land,Cambridge"
20,PB1 (October 2014-April 2015),C20,Culture & Community,Partner with developer to create mixed-income housing for those committed to giving back to the city,"The Cambridge housing market has become unreasonably unaffordable with successful buyers paying in cash and at well-over the asking price. This is pushing out would-be buyers who could afford to pay decent-sized mortgages and income taxes to help the city but can't compete with those buyers or pay a 20% downpayment of $100,000 or more. Low-income housing is also a problem.

The city should partner and provide incentives to a private developer who sets aside a percentage of units for not only low-income housing units but middle-income units as well. In return, in order to qualify for such units, potential buyers shall sign a contract committing to give back to the city of Cambridge through a variety of means including civic engagement and volunteerism.","This idea is not eligible for PB funds (private developers not eligible to receive PB funds), plus it's not a one-time expenditure.",Linda,"876 Massachusetts Avenue
(42.3679619999999, -71.1078069999999)",42.3679619999999,-71.10780699999991,"Partner,developer,housing,city"
21,PB1 (October 2014-April 2015),C21,Culture & Community,A drop-in day center for people who are homeless,"This center would have services, wifi, lockers, phones, and activities that focus on helping people get permanent shelter. It should be located somewhere near Central Square.",Not eligible - would require operating funds. Idea was shared with the Department of Human Service Programs. ,James,"Magazine Street
(42.364894, -71.10388)",42.364894,-71.10388,"day center,people"
22,PB1 (October 2014-April 2015),E32,"Environment, Health & Safety",More trees,,This project won funding! 100 new trees will be planted in FY16 (in addition to the trees Public Works was already planning to plant).,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,trees
23,PB1 (October 2014-April 2015),C22,Culture & Community,"Converting infrastructure of Foundry Building into Full Service Homeless Shelter,etc.","My project idea is to convert the infrastructure of the Foundry Building, at  101 Rogers Street in Cambridge Massachusetts, into shelter spaces and units, to address homelessness, and for the providing of supportive affordable housing services, etc. My project idea begins with the hiring of a Nonprofit Consultant, that specializes in Homelessness/Housing and Urban Development (HUD) issues and priorities, for Capacity Building, and to work diligently and collaboratively, with the Cambridge Continuum of Care (CoC),its Working Group on Homelessness, Alliance of Cambridge Tenants (ACT), and other community entities that serve our local poor populations, based on those with the greatest needs, such as the homeless, and other low income subgroups.",Not eligible - too expensive and would require operating funds. City Council is currently reviewing options for future uses of the building. ,Hasson J. Rashid,"222 Third Street
(42.366979, -71.080256)",42.366979,-71.080256,"infrastructure,Foundry Building,Homeless Shelter"
24,PB1 (October 2014-April 2015),C23,Culture & Community,To begin to implement a municipal broadband system,This begins to address the digital divide in Cambridge. MANY of those in public and low income housing do not have internet access. This is one way to address the achievement gap - students without internet access at home are already at an extreme disadvantage.,A scaled back public Wi-Fi project won funding.,Susan Fleischmann,"Washington Street
(42.3638869999999, -71.0946969999999)",42.3638869999999,-71.09469699999991,broadband system
25,PB1 (October 2014-April 2015),C24,Culture & Community,City-wide free wifi,"If too expensive, start with lower-income areas, especially ""projects""",A scaled back public Wi-Fi project won funding.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,wifi
26,PB1 (October 2014-April 2015),C25,Culture & Community,"Free wifi for all public housing, non-profit, and elderly (affordable) properties in Cambridge","This should be located at all affordable housing (low and moderate income) buildings/properties in Cambridge (CHA and others). Free wifi will help bridge the ""digital divide"" in a city where we have Google, Microsoft, MIT, Harvard, etc.",A scaled back public Wi-Fi project won funding.,James,"Main Street
(42.363419, -71.094396)",42.363419,-71.094396,"wifi,housing,properties,Cambridge"
27,PB1 (October 2014-April 2015),C26,Culture & Community,"Free wifi for work, school, etc. around City/public housing",,A scaled back public Wi-Fi project won funding.,Anonymous,"Main Street
(42.3635459999999, -71.095769)",42.3635459999999,-71.09576899999999,"wifi,work,school,housing,City"
28,PB1 (October 2014-April 2015),C27,Culture & Community,"Expand free, usable wifi in Cambridge squares and in public housing, starting with newtowne court an",Important to level the playing field between the haves and have nots in the digital age,A scaled back public Wi-Fi project won funding.,Gerald bergman,"Washington Street
(42.364513, -71.0945889999999)",42.364513,-71.0945889999999,"wifi,squares,housing,Cambridge,newtowne court"
29,PB1 (October 2014-April 2015),C28,Culture & Community,"An App - Identify Accessible entrances and routes to buildings, facilities, throughout the City","Accessible entrances to facilities are not always straightforward to find.  For example, an entrance at an address may have stairs and a person may need to hunt for the accessible entrance, which may be on an entirely different street and hard to locate. Persons with disabilities often making phone calls, e-mails, and special arrangements to get in the accessible entrance to facilities. To enhance equal opportunity to attend events, shop at stores, participate in community life, a Citywide App that identifies the accessible entrance would be of great benefit.  This would not only benefit persons with disabilities, but parents with small children and strollers, cyclists, and others preferring barrier free entry.",Budget Delegates did not rank this as a high priority project.,Sandy Durmaskin,"Rindge Avenue
(42.392688, -71.1376329999999)",42.392688,-71.13763299999991,"App,entrances,routes,buildings,City,facilities"
30,PB1 (October 2014-April 2015),C29,Culture & Community,A facility where families can receive information on money matters.,"I have not seen a facility where families can learn about budgeting, have job counseling, and receive information pertaining to money. This is very important and many families lack the knowledge.",Not eligible - would require operating funds. The Community Development Department offers similar programs.,Rockens Louis,"Pemberton Street
(42.391648, -71.12841)",42.391647999999996,-71.12841,"facility,families,information,money matters"
31,PB1 (October 2014-April 2015),C30,Culture & Community,Put Fire Dept Permit Application Process On Line,"The sale of a property in MA requires a Fire Dept inspection of smoke and CO detectors. To schedule and pay for an inspection appointment in Cambridge, one must physically go to the 2nd floor of the Main Fire Dept building at the intersection of Broadway/Cambridge/Quincy to complete an application and provide a check or cash. The hours available to do this are 8-10am and 2-3pm weekdays. The building is not pedestrian-accessible without walking through a planting bed or along the edge of the roadway. Inspection scheduling and payment could be processed on line as moving van permits are. A signature is required on the application, but that could be handled through on-line registry or at the time of the inspection at the property.",Budget Delegates did not rank this as a high priority project.,Robin Kelly,"Cambridge Street
(42.3752059999999, -71.114738)",42.3752059999999,-71.114738,"Permit Application Process,Fire Dept,Line"
32,PB1 (October 2014-April 2015),C31,Culture & Community,Digitize Property Files,"Make publicly available property information accessible on-line. Registry of Deeds information and Assessor reports are already available on line, but Inspectional Services records, Historical Commission information, and Fire Department records for specific addresses are not available on line. Making the information more easily accessible would benefit property owners, purchasers, renters, and would reduce traffic to each department.",Budget Delegates did not rank this as a high priority project.,Robin Kelly,"831 Massachusetts Avenue
(42.3672169999999, -71.106284)",42.3672169999999,-71.106284,Digitize Property Files
33,PB1 (October 2014-April 2015),C33,Culture & Community,"To make public and collaborative art walls, structures, graffiti, etc.","It can build a sense of community, make outlet for creative expression.","Budget Delegates contacted 3 organizations in different parts of Cambridge and some community artists, but there was no response to this project idea. ",PB Assembly,"Somerville Avenue
(42.3886949999999, -71.1194799999999)",42.3886949999999,-71.11947999999991,"structures,art walls,graffiti"
34,PB1 (October 2014-April 2015),C34,Culture & Community,To build an app to show inter-generational volunteer gaps,It can help share information to the community and also make it be language accessible to the city.,Budget Delegates did not rank this as a high priority project.,PB Assembly,"727 Massachusetts Avenue
(42.366131, -71.1047169999999)",42.366131,-71.10471699999991,"app,volunteer gaps"
35,PB1 (October 2014-April 2015),C35,Culture & Community,Study the tax paying relationships between other city/institutions.,"It can be used as a city website that is accessible to the public in regard to existing public project locations. It can help motivate institutions to contribute to ideas, as well as showing transparency and fairness in city/nonprofit institutions.",Not eligible - not a capital project.,PB Assembly,"Trowbridge Street
(42.3757609999999, -71.1097379999999)",42.3757609999999,-71.10973799999991,"tax,relationships,city/institutions"
36,PB1 (October 2014-April 2015),C36,Culture & Community,More Equipment For The Youth Centers,"Basketball have taken over the space in the gyms and only people that play basketball show up to the youth center and not enough other types of people. The goal is to have as many students to come by the youth centers to play the other sports that they want to play. The kind of equirments that's need are scoccer goals, dodge balls,  hockey sticks, and cones.",Budget Delegates did not rank this as a high priority project.,Jonathan Elie,"Pemberton Street
(42.391753, -71.128455)",42.391753,-71.128455,Equipment For The Youth Centers
37,PB1 (October 2014-April 2015),C37,Culture & Community,A weekend-only youth center (could be located anywhere in the city),All youth centers are open Monday-Friday.  If they were open on a weekend it would encourage more kids to come rather than doing something they shouldn't be doing.,Not eligible - would require operating funds. Idea was shared with the Department of Human Service Programs.,Nathaniel,"Trowbridge Street
(42.372464, -71.1108969999999)",42.372464,-71.11089699999991,"youth center,city,anywhere"
38,PB1 (October 2014-April 2015),C38,Culture & Community,Mural at Russell Field,The mural can show the community of Cambridge,"This idea made it to the ballot, but didn't get enough votes to win funding.",Mohamud Mahamud,"(42.3952159999999, -71.1379979999999)",42.3952159999999,-71.13799799999991,"Mural,Russell Field"
39,PB1 (October 2014-April 2015),C39,Culture & Community,"Community and citywide ""recycling"" options","Books, eyeglasses, cell phones, small electrical and electronic, etc. items to be gathered on garbage days and taken to citywide recycling location, which would eventually distribute to charity. ",Not eligible - would require operating funds.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"Community,recycling,options"
40,PB1 (October 2014-April 2015),C40,Culture & Community,More community availability of rooms - free! - in public housing and buildings,,"Budget Delegates proposed a project to replace the roof at Centro Latino, which had room for community groups to meet, but the project cost exceeded $500,000.",Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"community availability,housing,buildings"
41,PB1 (October 2014-April 2015),C41,Culture & Community,Indoor public meeting space.,It can be a space to gather in bad weather.,"Budget Delegates proposed a project to replace the roof at Centro Latino, which had room for community groups to meet, but the project cost exceeded $500,000.",PB Assembly,"Sherman Street
(42.393354, -71.132827)",42.393353999999995,-71.132827,"meeting,space"
42,PB1 (October 2014-April 2015),C42,Culture & Community,An indoor open community space for groups and organizations to meet,"His is needed because there are not enough free, open community, indoor spaces for children 0-5, especially during normal nap times","Budget Delegates proposed a project to replace the roof at Centro Latino, which had room for community groups to meet, but the project cost exceeded $500,000.",Kristen,"Main Street
(42.3624999999999, -71.0860809999999)",42.3624999999999,-71.08608099999991,"community space,groups,organizations"
43,PB1 (October 2014-April 2015),C43,Culture & Community,Practice rooms in public housing and buildings,,"Budget Delegates proposed a project to replace the roof at Centro Latino, which had room for community groups to meet, but the project cost exceeded $500,000.",Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"Practice rooms,housing,buildings"
44,PB1 (October 2014-April 2015),C44,Culture & Community,"Use public rooms for art displays, performances, etc.",(Not just CMAC.),Not eligible - would require operating funds. Idea was shared with the Cambridge Arts Council.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"rooms,art displays,performances"
45,PB1 (October 2014-April 2015),C45,Culture & Community,More block parties possible; no mandatory police presentations.,,Not eligible - would require operating funds.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"block parties,police presentations"
46,PB1 (October 2014-April 2015),C46,Culture & Community,More events like community repair days,,Not eligible - would require operating funds.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"events,community repair"
47,PB1 (October 2014-April 2015),E33,"Environment, Health & Safety","Replacement of ""matched"" trees that get sick with the same species",,Budget Delegates did not rank this as a high priority project.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"Replacement,trees,species"
48,PB1 (October 2014-April 2015),C47,Culture & Community,City to facilitate occasional neighborhood discussions on any topics desired at the time.,,Not eligible - would require operating funds. Community Development Department  facilitates these types of meetings.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"City,neighborhood discussions,topics"
49,PB1 (October 2014-April 2015),C48,Culture & Community,"City public meetings to take place at staggered times and days, so more can attend at least some. ",Children to be accommodated.  Translation to be arranged. ,Not eligible - would require operating funds.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"meetings,City,place,some,times,more"
50,PB1 (October 2014-April 2015),C49,Culture & Community,Cambridge Street,"There are a lot of store front vacancies, and we need more culture and arts centers. Partner with MIT, hire a curator, and make a space for contemporary art.",Not eligible - would require operating funds. Idea was shared with the Cambridge Arts Council.,Liz Munsell,"Cambridge Street
(42.3713539999999, -71.0836029999999)",42.3713539999999,-71.08360299999991,Cambridge Street
51,PB1 (October 2014-April 2015),C50,Culture & Community,Fund a new holiday lighting program relocating the twinkle lights around Civil War monument,It will allow Cambridge's most important monument to be displayed with energy efficient lighting without extraneous distractions.  Would the Lincoln Memorial (DC) be surrounded by twinkle lights?  The project can be done in conjunction with the Cambridge Common project currently under construction.,Budget Delegates did not rank this as a high priority project.,KET,"Garden Street
(42.3763599999999, -71.120435)",42.3763599999999,-71.120435,"holiday lighting program,monument,Civil War,twinkle lights"
52,PB1 (October 2014-April 2015),C51,Culture & Community,Exterior lighting of City Hall with energy-efficient fixtures that highlight the architecture,Highlight City Hall on the 125th anniversary of its construction.  Draw attention to its important architectural features.  Save energy by replacing existing lighting with new low energy lighting.,Budget Delegates did not rank this as a high priority project.,KET,"Massachusetts Avenue
(42.3668479999999, -71.105726)",42.3668479999999,-71.105726,"lighting,fixtures,architecture,City Hall"
53,PB1 (October 2014-April 2015),C52,Culture & Community,"Holiday ""light curtains"" in Harvard Square","Supports local holiday shopping.  Today, we have 4 beautiful holiday light curtains that hang over the streets in Harvard Square.  It would really light up the Square if we had 4 more.  I understand they cost between $5-10K each.",Budget Delegates did not rank this as a high priority project.,"Adam Hirsch, Curious George store","Oxford Street
(42.379185, -71.116219)",42.379185,-71.116219,"curtains,Harvard Square"
54,PB1 (October 2014-April 2015),C53,Culture & Community,Create a winter or holiday light installment on the Fresh Pond Golf Course,"There are some concerns that the Golf Course is not universally usable by the people of Cambridge. Many other cities host ""winter wonderlands"" of decorated trees and light shows. Adding this to the golf course while it is closed in winter would be a nice attraction and usable by lots of people.",Budget Delegates did not rank this as a high priority project.,Julie E,"Blanchard Road
(42.3892969999999, -71.156602)",42.3892969999999,-71.156602,"light,Fresh Pond Golf Course"
55,PB1 (October 2014-April 2015),C54,Culture & Community,Electronic billboard sign in front of City Hall,To inform residents of upcoming events and meetings,Budget Delegates did not rank this as a high priority project.,John Taylor,"Dorothy Doyle Way
(42.367074, -71.105704)",42.367074,-71.105704,"billboard sign,front,City Hall"
56,PB1 (October 2014-April 2015),C55,Culture & Community,Digital video sign,Help promote more events and allow for special or emergency messages to be promoted on the sign. Do this at other locations as well,Budget Delegates did not rank this as a high priority project.,John,"Peabody Street
(42.375959, -71.117812)",42.375959,-71.117812,video sign
57,PB1 (October 2014-April 2015),C56,Culture & Community,Community bulletin boards.,"These should be local, but also include City notices (upcoming events, festivals, social services, elections, etc.) in multiple languages.",Public Works already has plans to do this and will work with neighborhoods and businesses on locations and designs.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,Community bulletin boards
58,PB1 (October 2014-April 2015),C57,Culture & Community,Fund summertime activities in Vellucci Plaza- like the piano vents a year or so ago,Energize the square and plaza with activity,"Budget Delegates consulted with Cambridge Arts Council, but this idea would involve operating funds and is therefore not eligible.",Jim Monteverde,"Cambridge Street
(42.373724, -71.1012089999999)",42.373723999999996,-71.1012089999999,"Fund summertime activities,piano vents,Vellucci Plaza"
59,PB1 (October 2014-April 2015),C58 ,Culture & Community,More laptops for the Community Learning Center,There are not enough computers for students to use at the CLC.,This project won funding!,Jenny C.,"5 Western Avenue
(42.365302, -71.105451)",42.365302,-71.105451,"laptops,Community Learning Center"
60,PB1 (October 2014-April 2015),C59,Culture & Community,Cookery School For Kids and Families,"Here at the Cambridge Cookery School families can strengthen their bonds over cooking lessons from the top local chefs. Kids will strengthen their knowledge of math and science through cooking--like hiding cauliflower in mashed potatoes! 

Family, food, and education, three things that are indispensable for a strong community.",Not eligible - not public property.,Jason Doo,"Harvard Street
(42.3684289999999, -71.100823)",42.3684289999999,-71.10082299999999,"Cookery School,Kids,Families"
61,PB1 (October 2014-April 2015),E31,"Environment, Health & Safety","More ""recycling"" options, not just books.",,Budget Delegates did not rank this as a high priority project.,Martha Older,"Citywide
(42.366956, -71.1058539999999)",42.366956,-71.10585399999991,"recycling,options,books"
62,PB1 (October 2014-April 2015),C60,Culture & Community,A recording (& dance?) studio/music space,primarily for younger people in the former N.C. - J.P. CHA Health Clinic at Jefferson Park/Jackson Place. Young people need opportunities to be creative and enjoy creative expressions while also developing skills that will be useful for a lifetime.  Younger people at Jefferson Park (and nearby areas) don't really have easy access to this kind of enjoyable and creative activity in the immediate neighborhood.,"Projects in Cambridge Housing Authority properties were not eligible. Budget Delegates proposed a project to replace the roof at Centro Latino, which had room for community groups to meet, but the project cost exceeded $500,000.",James,"Jackson Place
(42.392898, -71.1347899999999)",42.392897999999995,-71.13478999999991,"recording,dance,music space,studio"
63,PB1 (October 2014-April 2015),C61,Culture & Community,Public & cultural information (circular) kiosk in front of the post office in Central Square,"The kiosk should be located on the brick sidewalk area near Hubway on Mass Ave - Parisian style!  The kiosk would increase sharing of community, public/civic, and cultural information.",Budget Delegates did not rank this as a high priority project; operating costs would have exceeded capital costs.,James,"Massachusetts Avenue
(42.3665129999999, -71.105812)",42.3665129999999,-71.105812,"Public,information,kiosk,front,post office,Central Square"
64,PB1 (October 2014-April 2015),C62,Culture & Community,"To restore the ""Gift of wind"" kinetic sculpture at Porter T Station","This is one of Cambridge's most notable landmarks and an art icon of the city for decades.  Sadly, it had faded to a chalky pink and streaked with rust, instead of its original vibrant red.  So much has been invested in Porter Square by the MBTA to upgraded the exterior of the station and pedestrian access along with the cities investment into the street scape at Porter Square shopping center, that the sculpture's neglect stands out even more in contrast.",Not eligible - MBTA property.,Heather Pacheco,"Somerville Avenue
(42.388522, -71.1192819999999)",42.388521999999995,-71.1192819999999,"Gift,wind,Porter T Station,sculpture"
65,PB1 (October 2014-April 2015),C63,Culture & Community,"Commission up to $150,000 in public art for Cambridge artists",There is so little $ for public art,Not eligible - would require operating funds. Idea was shared with the Cambridge Arts Council.,Gerald bergman,"Garden Street
(42.3763, -71.1214109999999)",42.3763,-71.12141099999991,"art,artists,Cambridge"
66,PB1 (October 2014-April 2015),C64,Culture & Community,A new flag to replace the shredded one on the front of the Cambridgeport School,"Apparently there is not enough $ to replace or mend the American flag on the school....come by,and take a look at the condition of the flag",Budget Delegates did not rank this as a high priority project.,Gerald Bergman,"89 Elm Street
(42.369484, -71.0976359999999)",42.369484,-71.09763599999991,"flag,one,front,Cambridgeport School"
67,PB1 (October 2014-April 2015),C65,Culture & Community,"Fund mobile camera for the city manager, the council and CDD staff to see if the meet more often wit","We need to hold these elected officials, the city manager and community development personnel accountable.....it is time they meet with the community, not just the developers",Budget Delegates did not rank this as a high priority project.,Gerald bergman,"Dorothy Doyle Way
(42.3670419999999, -71.1056289999999)",42.3670419999999,-71.10562899999991,"camera,city manager,council,staff,meet,CDD,wit"
68,PB1 (October 2014-April 2015),C66,Culture & Community,Community Photo Booth,Through photographs of community members we can capture the images and stories of the people who live and walk-through this unique city. Web need to gather the on-going history and social movement of Cambridge.,Budget Delegates did not rank this as a high priority project. The operating cost may have exceeded the capital cost of the project.,Gately Youth Center,"Broadway
(42.3729889999999, -71.110342)",42.3729889999999,-71.110342,Community Photo Booth
69,PB1 (October 2014-April 2015),C67,Culture & Community,Get Gordon Ramsey to teach the school lunch cooks,This is needed because all Cambridge Public School lunches are nasty and we need to improve them.,Not eligible - would require operating funds.,Milas,"Broadway
(42.3739399999999, -71.111967)",42.3739399999999,-71.111967,"Gordon Ramsey,school lunch cooks"
70,PB1 (October 2014-April 2015),C68,Culture & Community,Making school lunch better by getting a special class for the cooks.,People are not eating lunch because it's bad,Not eligible - would require operating funds.,Fritz Duverglas,"(42.382133, -71.146517)",42.382133,-71.146517,"school lunch,class,cooks"
